EN000026027, 59.3000, 23.3500, 5.0, OSMUSSAR ISLAND, 26027
EN000026029, 59.3830, 24.0330, 26.0, PAKRI, 26029
EN000026034, 59.6000, 24.5000, 2.0, NAISSAAR ISLAND, 26034
EN000026038, 59.3831, 24.5831, 34.0, TALLINN, 26038
EN000026045, 59.5170, 26.5330, 3.0, KUNDA, 26045
EN000026046, 59.3000, 27.2000, 74.0, JECKHVY, 26046
EN000026057, 59.4700, 28.0300, 13.0, NARVA-YIESUU, 26057
EN000026115, 58.9170, 22.0670, 9.0, RISTNA, 26115
EN000026116, 59.0000, 22.8170, 4.0, KARDLA, 26116
EN000026120, 58.9500, 23.8170, 25.0, LAANE-NIGULA, 26124
EN000026124, 59.0000, 23.8000, 24.0, NIGULA, 26124
EN000026128, 58.5670, 23.5170, 3.0, VIRTSU, 26128
EN000026134, 58.9670, 24.7330, 52.0, KUUSIKU, 26134
EN000026135, 58.8170, 25.4170, 65.0, TURI, 26135
EN000026141, 59.1330, 26.2330, 123.0, VALKE-MAARJA, 26141
EN000026144, 58.3700, 26.2700, 89.0, TOOMA, 26144
EN000026145, 58.9000, 26.9000, 34.0, TIJRIKOJA, 26145
EN000026214, 58.3670, 25.6000, 86.0, VILJANDI, 26233
EN000026215, 58.2330, 22.5000, 4.0, KURESSAARE-ROOMASSAA, 26215
EN000026226, 58.1000, 23.9670, 4.0, KIHNU, 26226
EN000026229, 57.8670, 24.3670, 5.0, AINAZI, 26229
EN000026231, 58.3667, 24.5000, 8.0, PJARNU, 26231
EN000026233, 58.4000, 25.6000, 86.0, VIL'JANDI, 26233
EN000026242, 58.3000, 26.7331, 59.0, TARTU, 26242
EN000026249, 57.8458, 27.0192, 82.0, VORU, 26249
ENE00100914, 58.3831, 21.8153, 6.0, VILSANDI, 26214
